file,segs,avg_seg_wer,corpus_wer,recovered_hhmmss,recovered_at_0.4_hhmmss
audio_file_001,2182,0.2414,0.1716,2:28:22,2:27:13
audio_file_002,179,0.2764,0.2452,0:09:34,0:09:23
audio_file_003,2468,0.2362,0.1920,2:32:17,2:30:18
audio_file_004,1913,0.2637,0.1996,2:07:44,2:04:57
audio_file_005,1653,0.2861,0.2017,1:55:41,1:52:52
audio_file_006,2376,0.2100,0.1469,2:33:30,2:31:03
audio_file_007,2337,0.2404,0.1785,2:25:59,2:23:39
audio_file_008,2246,0.2419,0.1809,2:17:24,2:15:05
audio_file_009,246,0.4503,0.2915,0:15:21,0:14:42
audio_file_010,1640,0.2504,0.1901,1:37:34,1:36:36
audio_file_011,1594,0.2783,0.1878,1:45:14,1:44:33
audio_file_012,1863,0.2807,0.2713,2:13:23,2:03:55
audio_file_013,716,0.3304,0.2224,0:43:33,0:42:25
audio_file_014,1927,0.2763,0.2249,1:45:41,1:43:19
audio_file_016,2591,0.2480,0.1907,2:29:39,2:26:49
audio_file_017,2399,0.2192,0.1676,2:15:28,2:13:04
audio_file_018,474,0.3813,0.3852,0:26:33,0:24:09
audio_file_019,2255,0.2374,0.1835,2:29:30,2:27:53
audio_file_020,1652,0.2701,0.2389,1:35:56,1:29:33
audio_file_021,122,0.4187,0.3078,0:07:15,0:07:00
audio_file_022,2244,0.2774,0.1907,2:31:40,2:30:00
audio_file_023,179,0.3765,0.2369,0:11:18,0:11:08
audio_file_024,1906,0.3558,0.2815,2:35:59,2:25:18
TOTAL,37162,0.2623,0.2034,39:34:31,38:34:55
