SPEECH RECOVERY — all-speakers_parakeetrnnt1.1b_disablePass1Extra  (file_015 excluded)

file             init_audio  recovered    rec@0.4 rec/init r04/init   segs seg@0.4
audio_file_001      4:58:43    2:28:22    2:27:13    49.7%    49.3%   2182    2153
audio_file_002      0:18:10    0:09:34    0:09:23    52.7%    51.7%    179     177
audio_file_003      5:30:59    2:32:17    2:30:18    46.0%    45.4%   2468    2436
audio_file_004      5:17:45    2:07:44    2:04:57    40.2%    39.3%   1913    1867
audio_file_005      4:05:10    1:55:41    1:52:52    47.2%    46.0%   1653    1603
audio_file_006      5:22:00    2:33:30    2:31:03    47.7%    46.9%   2376    2330
audio_file_007      5:23:05    2:25:59    2:23:39    45.2%    44.5%   2337    2286
audio_file_008      5:18:05    2:17:24    2:15:05    43.2%    42.5%   2246    2198
audio_file_009      0:23:25    0:15:21    0:14:42    65.6%    62.8%    246     237
audio_file_010      4:40:35    1:37:34    1:36:36    34.8%    34.4%   1640    1608
audio_file_011      4:15:50    1:45:14    1:44:33    41.1%    40.9%   1594    1577
audio_file_012      3:29:56    2:13:23    2:03:55    63.5%    59.0%   1863    1762
audio_file_013      1:19:45    0:43:33    0:42:25    54.6%    53.2%    716     696
audio_file_014      5:18:34    1:45:41    1:43:19    33.2%    32.4%   1927    1892
audio_file_016      5:18:53    2:29:39    2:26:49    46.9%    46.0%   2591    2524
audio_file_017      5:22:25    2:15:28    2:13:04    42.0%    41.3%   2399    2354
audio_file_018      1:17:15    0:26:33    0:24:09    34.4%    31.3%    474     441
audio_file_019      5:21:38    2:29:30    2:27:53    46.5%    46.0%   2255    2216
audio_file_020      3:54:26    1:35:56    1:29:33    40.9%    38.2%   1652    1544
audio_file_021      0:10:55    0:07:15    0:07:00    66.5%    64.1%    122     119
audio_file_022      5:34:42    2:31:40    2:30:00    45.3%    44.8%   2244    2209
audio_file_023      0:33:30    0:11:18    0:11:08    33.7%    33.2%    179     172
audio_file_024      5:45:45    2:35:59    2:25:18    45.1%    42.0%   1906    1749
TOTAL              89:01:32   39:34:31   38:34:55    44.5%    43.3%  37162   36150

Total initial audio (23 files, excl 015) : 89:01:32  (89.03 h)
Total speech recovered (all segments)    : 39:34:31  (39.58 h = 44.5% of audio)
Total speech recovered @ avg_score>=0.4  : 38:34:55  (38.58 h = 43.3% of audio)

PER-SPEAKER recovered duration @ avg_score>=0.4  (file | speaker, desc):
file|speaker                      rec@0.4   segs
audio_file_022|spk_1006           2:01:05   1678
audio_file_017|spk_1003           1:55:31   2006
audio_file_019|spk_1004           1:51:37   1560
audio_file_008|spk_1002           1:42:53   1594
audio_file_014|spk_1007           1:32:00   1699
audio_file_016|spk_1009           1:28:26   1658
audio_file_011|spk_1002           1:24:08   1188
audio_file_010|spk_1002           1:18:24   1262
audio_file_003|spk_1004           1:04:48    925
audio_file_020|spk_1003           0:57:12   1045
audio_file_007|spk_1005           0:53:55    820
audio_file_004|spk_1011           0:53:29    858
audio_file_006|spk_1010           0:49:10    882
audio_file_012|spk_1008           0:47:15    580
audio_file_006|spk_1013           0:45:47    638
audio_file_001|spk_1008           0:43:49    664
audio_file_024|spk_1014           0:43:44    308
audio_file_012|spk_1017           0:38:50    575
audio_file_024|spk_1018           0:34:32    499
audio_file_004|spk_1021           0:33:31    419
audio_file_006|spk_1005           0:31:37    378
audio_file_005|spk_1005           0:28:21    323
audio_file_024|spk_1019           0:26:01    328
audio_file_016|spk_1016           0:25:08    305
audio_file_016|spk_1001           0:24:28    394
audio_file_022|spk_1001           0:22:39    403
audio_file_003|spk_1012           0:21:35    505
audio_file_013|spk_1003           0:21:06    355
audio_file_005|spk_1012           0:20:44    380
audio_file_024|spk_1001           0:19:24    317
audio_file_008|spk_1001           0:18:15    320
audio_file_001|spk_1004           0:18:06    192
audio_file_007|spk_1001           0:17:22    293
audio_file_003|spk_1001           0:16:09    267
audio_file_007|spk_1023           0:16:00    237
audio_file_006|spk_1001           0:15:50    246
audio_file_001|spk_1015           0:15:19    188
audio_file_005|spk_1015           0:14:42    149
audio_file_019|spk_1001           0:14:36    251
audio_file_007|spk_1029           0:14:03    277
audio_file_018|spk_1001           0:13:50    288
audio_file_003|spk_1030           0:13:46    206
audio_file_005|spk_1004           0:13:37    232
audio_file_001|spk_1001           0:12:57    228
audio_file_011|spk_1001           0:12:14    207
audio_file_001|spk_1027           0:11:58    151
audio_file_004|spk_1031           0:11:27    160
audio_file_019|spk_1028           0:10:47    202
audio_file_010|spk_1001           0:10:46    188
audio_file_007|spk_1036           0:10:04    110
audio_file_007|spk_1032           0:10:02    189
audio_file_001|spk_1034           0:09:51    184
audio_file_004|spk_1037           0:09:04    130
audio_file_001|spk_1040           0:08:58     97
audio_file_004|spk_1001           0:08:56    146
audio_file_024|spk_1004           0:08:47     95
